group	marker	posi	group_Americain	posi_physique
4A	Cluster_4510|Contig2|original@720	152.1	4A	175047192
3B	Cluster_4513|Contig1|original@1299	107.9	3B	358376759
4B	Cluster_4514|Contig2|likelySeq@211	79.5	NA	NA
2B	Cluster_4515|Contig2|original@187	78.5	NA	NA
2A	Cluster_4515|Contig3|original@823	56.2	NA	NA
4A	Cluster_4517|Contig1|original@675	67.3	4A	30901761
1A	Cluster_4518|Contig1|original@852	51.9	1A	9890708
1A	Cluster_452|Contig1|complementarySeq@847	74.8	1A	94023782
6A	Cluster_4521|Contig1|original@276	90	6B	176352357
6B	Cluster_4522|Contig1|original@1898	164.9	6B	192498910
6A	Cluster_4522|Contig2|original@870	158.6	6A	199094442
3B	Cluster_4523|Contig1|original@2688	162.9	3A	159628793
2A	Cluster_4525|Contig3|original@451	93.7	2A	150986211
2B	Cluster_4528|Contig1|original@1826	154.5	2B	103745343
1A	Cluster_4529|Contig2|original@487	50.6	1A	11066076
6B	Cluster_4530|Contig1|likelySeq@371	127.5	6B	171172074
6B	Cluster_4530|Contig2|original@267	127.5	6B	171169449
2A	Cluster_4532|Contig2|original@1419	124.5	2A	78759047
2B	Cluster_4532|Contig3|original@913	153.8	2B	155674432
2B	Cluster_4532|Contig3|original@1117	153.8	2B	155674432
3B	Cluster_4534|Contig1|original@134	263.9	3A	183320315
3B	Cluster_4534|Contig2|original@753	263.9	3A	183371411
6B	Cluster_4536|Contig6|original@162	206.9	6B	201224549
6B	Cluster_4536|Contig6|original@147	207.2	6B	201224549
2B	Cluster_4538|Contig2|original@1167	87.6	NA	NA
3B	Cluster_4539|Contig1|original@237	70.2	3B	510883563
3A	Cluster_4539|Contig2|original@222	53.4	3A	10627492
2A	Cluster_454|Contig2|likelySeq@372	15.1	NA	NA
2A	Cluster_454|Contig4|complementarySeq@312	16.4	2B	5775653
4A	Cluster_4543|Contig1|complementarySeq@837	86.8	4A	116603282
5A	Cluster_4544|Contig1|likelySeq@837	177	5A	98448135
4A	Cluster_4544|Contig3|likelySeq@213	229.1	7A	7257269
1A	Cluster_455|Contig4|original@1346	204.1	NA	NA
1B	Cluster_455|Contig9|original@1123	230.8	NA	NA
2B	Cluster_4552|Contig2|original@735	155.1	NA	NA
2B	Cluster_4552|Contig2|original@1341	156	NA	NA
2B	Cluster_4552|Contig4|original@2076	155.1	NA	NA
3A	Cluster_4554|Contig1|original@1909	138.1	NA	NA
3A	Cluster_4554|Contig2|original@290	138.1	NA	NA
3A	Cluster_4554|Contig4|original@1396	138.1	NA	NA
4B	Cluster_4556|Contig2|complementarySeq@876	94.2	4B	23661061
4B	Cluster_4556|Contig2|likelySeq@876	94.2	4B	23661061
2A	Cluster_4561|Contig2|original@2214	111.5	2A	196075723
2A	Cluster_4562|Contig1|likelySeq@975	247.9	2A	246553824
2B	Cluster_4564|Contig2|original@261	144.9	2B	201882333
6B	Cluster_4566|Contig1|likelySeq@893	107.7	NA	NA
3B	Cluster_4568|Contig1|original@456	147.2	3A	143773667
3B	Cluster_4568|Contig2|original@1547	147.2	3B	571071754
3B	Cluster_4568|Contig2|original@1631	147.2	3B	571071754
3B	Cluster_457|Contig3|original@827	116.2	3B	444553027
6B	Cluster_4576|Contig1|original@1264	89.6	6A	64276203
2B	Cluster_458|Contig1|likelySeq@281	76.5	NA	NA
5A	Cluster_4584|Contig2|original@1916	216.3	5A	112336921
5B	Cluster_4584|Contig2|original@1205	178.6	5A	112336921
1B	Cluster_4585|Contig2|likelySeq@1777	90.7	1B	162320668
4B	Cluster_4588|Contig1|complementarySeq@1978	89.6	4A	11305391
4B	Cluster_4588|Contig1|complementarySeq@2001	89.6	4A	11305391
4B	Cluster_4588|Contig2|complementarySeq@193	89.6	4A	11305391
4B	Cluster_4588|Contig2|complementarySeq@216	89.6	4A	11305391
7A	Cluster_4589|Contig1|original@1183	283.7	NA	NA
7B	Cluster_4589|Contig2|original@275	227.7	7B	251410848
7B	Cluster_4589|Contig4|original@1000	227.7	7B	251410848
7A	Cluster_4589|Contig5|original@228	281.1	NA	NA
5B	Cluster_4591|Contig2|complementarySeq@1510	65	5B	125146725
7A	Cluster_4594|Contig1|likelySeq@783	281.8	7A	181777327
1B	Cluster_4597|Contig1|complementarySeq@1059	120.6	1B	216998690
1B	Cluster_4597|Contig1|complementarySeq@1056	119.4	1B	216998690
1B	Cluster_4598|Contig1|original@330	187.9	1B	282808245
3A	Cluster_4599|Contig1|original@778	157.1	3B	652810167
3B	Cluster_4599|Contig2|original@676	178.2	3B	652794392
3B	Cluster_4599|Contig3|original@711	178.2	3B	652794392
3A	Cluster_4599|Contig4|original@671	155.9	3B	652794392
3A	Cluster_460|Contig11|complementarySeq@1143	232.3	3A	180286283
3A	Cluster_460|Contig11|complementarySeq@1248	231.2	3A	180286283
3A	Cluster_460|Contig11|likelySeq@1143	232.3	3A	180286283
3A	Cluster_460|Contig11|likelySeq@1248	231.2	3A	180286283
3B	Cluster_460|Contig12|complementarySeq@1340	242.9	NA	NA
3B	Cluster_460|Contig12|likelySeq@1159	242.9	3B	748052241
3B	Cluster_460|Contig5|complementarySeq@640	242.9	3B	748482131
3B	Cluster_460|Contig6|original@217	242.9	3A	180286283
7A	Cluster_4601|Contig1|original@1002	154.9	NA	NA
4B	Cluster_4602|Contig2|likelySeq@1346	91.8	4B	105851471
5A	Cluster_4603|Contig10|original@75	140.9	NA	NA
2A	Cluster_4604|Contig1|original@401	129.3	NA	NA
1B	Cluster_4607|Contig1|likelySeq@111	119.4	1B	224765442
1A	Cluster_4607|Contig2|original@113	103.9	NA	NA
3A	Cluster_4608|Contig4|original@584	90.9	3A	91015312
2A	Cluster_4618|Contig1|original@839	151.5	2A	50013164
1B	Cluster_4619|Contig1|original@414	129.7	1A	219089891
5A	Cluster_4620|Contig2|original@1705	70.3	NA	NA
5B	Cluster_4625|Contig2|original@401	208.4	5B	239607771
5B	Cluster_4625|Contig2|original@581	208.4	5B	239607771
7A	Cluster_4628|Contig1|original@430	140.1	NA	NA
4B	Cluster_4629|Contig12|original@591	81.3	2B	303124988
4B	Cluster_4629|Contig20|original@208	81.3	NA	NA
3B	Cluster_4629|Contig8|original@1626	159.2	NA	NA
3B	Cluster_4633|Contig1|original@273	4	NA	NA
7B	Cluster_4635|Contig1|complementarySeq@836	5.19999999999999	NA	NA
7B	Cluster_4635|Contig1|likelySeq@836	5.19999999999999	NA	NA
4B	Cluster_4637|Contig3|original@1560	88.9	4B	56107469
1B	Cluster_4638|Contig4|original@271	129.7	1A	216111256
3A	Cluster_4639|Contig1|complementarySeq@1872	97.2	3A	148674055
3B	Cluster_4639|Contig1|likelySeq@2379	125.1	3B	499414748
3B	Cluster_4640|Contig1|original@1178	183.5	3B	672510768
6B	Cluster_4641|Contig3|complementarySeq@239	107.7	NA	NA
6A	Cluster_4643|Contig1|original@984	194.1	6A	204893894
6B	Cluster_4650|Contig2|original@2592	84.7	6B	97287809
6B	Cluster_4650|Contig2|original@1002	85.2	6B	97287809
6B	Cluster_4657|Contig2|original@155	68.5	6B	137718682
6B	Cluster_4657|Contig3|original@155	68.5	6B	137718682
1B	Cluster_4659|Contig3|original@315	95.8	1B	135804399
4A	Cluster_466|Contig1|complementarySeq@505	89.9	4A	157377636
4B	Cluster_4660|Contig1|original@1313	50.8	4B	10047000
4B	Cluster_4660|Contig3|original@1426	50.8	4B	10047000
4B	Cluster_4660|Contig3|original@752	50.8	4B	10047000
3B	Cluster_4665|Contig1|original@133	164.1	NA	NA
7A	Cluster_4667|Contig1|complementarySeq@213	65.9	7A	16149404
7A	Cluster_4667|Contig1|complementarySeq@608	65.6	7A	16149404
7B	Cluster_4667|Contig1|likelySeq@855	4.59999999999999	7B	1379540
1A	Cluster_4668|Contig8|original@408	108.6	3B	582612532
7A	Cluster_4669|Contig1|original@2027	243.4	7A	170633784
7A	Cluster_4669|Contig3|original@391	243.4	7A	170633784
7B	Cluster_4669|Contig4|original@1751	185.4	NA	NA
7B	Cluster_4669|Contig5|original@1894	185	7A	170633784
7B	Cluster_4669|Contig6|original@1748	185.4	NA	NA
3A	Cluster_4672|Contig1|complementarySeq@819	90.1	3B	464253548
3B	Cluster_4674|Contig1|likelySeq@216	208.6	3B	723188894
3B	Cluster_4674|Contig1|likelySeq@513	209.1	3B	723188894
2A	Cluster_4675|Contig1|original@431	172.2	2A	215301506
2B	Cluster_4675|Contig2|original@732	198.9	NA	NA
2A	Cluster_4676|Contig2|original@1759	99.2	2B	152018244
2A	Cluster_468|Contig4|original@169	257.6	NA	NA
7B	Cluster_4681|Contig1|complementarySeq@599	148.8	7B	230267555
4A	Cluster_4682|Contig1|complementarySeq@1702	56.6	4A	33473428
4A	Cluster_4682|Contig1|likelySeq@1702	56.4	NA	NA
5A	Cluster_4682|Contig3|original@287	177	5A	98621489
3A	Cluster_4684|Contig1|likelySeq@611	181.2	NA	NA
3A	Cluster_4684|Contig1|likelySeq@1096	181.2	NA	NA
4A	Cluster_4689|Contig1|original@1323	62.9	4A	60061787
4A	Cluster_4689|Contig3|original@1265	62.9	4A	60061787
5A	Cluster_469|Contig1|original@110	252.5	NA	NA
6A	Cluster_4694|Contig3|original@188	61.3	6A	32774373
1B	Cluster_4696|Contig3|original@1195	16.5	NA	NA
3A	Cluster_4697|Contig1|original@365	80.5	3B	192972188
2B	Cluster_4699|Contig2|original@315	275.3	2B	338416454
3A	Cluster_470|Contig1|complementarySeq@351	72.2	3B	117469361
3A	Cluster_470|Contig1|likelySeq@592	72.2	3A	23220394
6B	Cluster_4711|Contig2|original@1039	2.2	6A	1673614
6A	Cluster_4711|Contig3|original@278	0.299999999999983	6A	571872
6B	Cluster_4711|Contig5|original@1000	2.2	6A	1673614
2A	Cluster_4717|Contig2|complementarySeq@1056	112.6	2A	131296953
6B	Cluster_4719|Contig1|likelySeq@1498	122.1	6B	166464268
7A	Cluster_4723|Contig1|original@402	43	NA	NA
4B	Cluster_4730|Contig1|original@307	187.3	4B	315837038
7B	Cluster_4734|Contig1|likelySeq@1448	68	7B	62973885
1A	Cluster_4737|Contig2|likelySeq@938	74.8	NA	NA
3B	Cluster_4739|Contig3|original@179	147.2	NA	NA
4B	Cluster_4751|Contig1|complementarySeq@1422	84.6	4B	120847860
4B	Cluster_4751|Contig1|complementarySeq@750	84.6	4B	120847860
4B	Cluster_4751|Contig1|complementarySeq@2087	84.6	4B	120847860
4B	Cluster_477|Contig1|likelySeq@407	154.3	NA	NA
2B	Cluster_477|Contig3|original@1347	80.6	NA	NA
2B	Cluster_477|Contig5|original@1509	80.6	NA	NA
2A	Cluster_4773|Contig1|original@354	69.6	NA	NA
3B	Cluster_4775|Contig1|complementarySeq@333	150.5	3B	580413357
1A	Cluster_4776|Contig1|original@180	102.1	1A	217073538
3B	Cluster_4777|Contig5|original@192	271.1	3B	761735698
7A	Cluster_4778|Contig1|original@935	147.5	NA	NA
1B	Cluster_4781|Contig1|complementarySeq@475	61.9	1B	72346349
1B	Cluster_4783|Contig1|original@3602	69.9	1B	173290565
1A	Cluster_4786|Contig1|original@379	55.2	1A	15783860
2B	Cluster_4787|Contig13|original@4078	137.5	2A	168664706
2B	Cluster_4787|Contig3|original@2443	137.5	2A	168664706
2B	Cluster_4787|Contig9|original@2473	137.5	NA	NA
6A	Cluster_4789|Contig1|original@1702	207.9	6A	205865487
6B	Cluster_4789|Contig1|original@259	212.5	6A	205865487
6B	Cluster_4789|Contig2|original@1251	212.5	6B	202984991
6A	Cluster_4789|Contig4|original@1655	207.9	6A	205865487
5A	Cluster_4791|Contig1|original@1098	210.8	5B	213979620
5A	Cluster_4791|Contig2|original@928	210.8	5A	107941190
5B	Cluster_4791|Contig3|original@5063	172.9	5B	213979620
5A	Cluster_4791|Contig4|original@115	210.8	5B	213979620
5A	Cluster_4791|Contig8|original@3509	210.8	5B	213979620
2A	Cluster_4798|Contig1|likelySeq@759	125.1	2A	83149448
4A	Cluster_4799|Contig3|original@2453	68.8	4A	56503905
4A	Cluster_4799|Contig5|original@1368	68.8	4A	56503905
2A	Cluster_480|Contig1|original@201	112.4	2A	173341322
2B	Cluster_480|Contig2|complementarySeq@643	144.9	2B	132275370
2B	Cluster_480|Contig2|likelySeq@643	144.9	2A	173341322
7A	Cluster_4800|Contig2|original@273	148	7A	93099238
4B	Cluster_4802|Contig1|original@792	89.6	NA	NA
4B	Cluster_4802|Contig2|original@592	89.6	NA	NA
3B	Cluster_4804|Contig1|original@155	182.1	3B	666198847
1B	Cluster_4805|Contig2|original@2028	57	1A	105441147
1B	Cluster_4805|Contig5|original@150	57	1A	105441147
4B	Cluster_4806|Contig1|likelySeq@1614	94.2	NA	NA
4B	Cluster_4806|Contig2|complementarySeq@154	94.2	4B	106395667
1B	Cluster_4808|Contig1|original@646	65.6	1B	48180011
3A	Cluster_481|Contig1|complementarySeq@1625	70.5	3A	18885402
1B	Cluster_4811|Contig2|original@3275	57	1B	112947542
4A	Cluster_4812|Contig1|complementarySeq@477	56.6	4A	20604463
6B	Cluster_4815|Contig2|original@187	128.8	6A	183484047
3A	Cluster_4817|Contig1|original@2806	113.5	3A	134711449
2A	Cluster_4820|Contig1|original@1455	52.2	2B	19780822
2A	Cluster_4820|Contig2|original@2297	54.5	2A	14175553
3B	Cluster_4821|Contig3|original@468	259.4	NA	NA
5B	Cluster_4824|Contig2|original@511	183.1	5B	224622375
3A	Cluster_483|Contig2|complementarySeq@104	80.5	NA	NA
3A	Cluster_4830|Contig1|original@956	239.6	3B	760256163
3B	Cluster_4830|Contig2|original@793	256.5	3B	760256163
1B	Cluster_4833|Contig12|original@1882	151.7	NA	NA
5A	Cluster_4833|Contig13|original@842	32.3	NA	NA
1A	Cluster_4833|Contig3|original@1882	134.3	NA	NA
5A	Cluster_4833|Contig4|original@1943	32.3	NA	NA
3A	Cluster_4835|Contig2|original@779	14.6	3A	1794231
3B	Cluster_4835|Contig3|original@513	10.8	3A	1794231
3B	Cluster_4835|Contig4|original@854	10.8	3A	1794231
3B	Cluster_4835|Contig5|original@548	10.8	3A	1794231
5B	Cluster_4837|Contig1|original@266	268.3	5B	272600809
4A	Cluster_4837|Contig3|original@587	134.3	4A	173941580
4A	Cluster_4838|Contig1|original@37	180.2	7A	16022074
7A	Cluster_4838|Contig2|original@883	61	7A	16022074
4B	Cluster_4844|Contig3|original@64	47.6	4B	9208366
3A	Cluster_4845|Contig1|original@267	68.7	3B	96457705
3A	Cluster_4848|Contig3|original@1641	155.6	3A	160792966
1A	Cluster_485|Contig2|original@342	206.6	1B	289531601
1B	Cluster_485|Contig3|original@3235	230.5	1B	289531601
7B	Cluster_4850|Contig1|complementarySeq@1955	128	7B	216100820
7B	Cluster_4850|Contig1|likelySeq@2022	127.2	7B	216100820
7A	Cluster_4850|Contig2|complementarySeq@2192	196.5	7B	216100820
7A	Cluster_4850|Contig2|likelySeq@2192	196.5	NA	NA
2A	Cluster_4853|Contig3|complementarySeq@221	208.3	2A	234631582
4A	Cluster_4853|Contig4|complementarySeq@236	190.7	2A	234631582
4A	Cluster_4853|Contig4|likelySeq@209	190.7	2A	234631582
2B	Cluster_4855|Contig3|original@1390	52.5	2B	10520621
6B	Cluster_4858|Contig4|original@847	123.2	NA	NA
1B	Cluster_486|Contig14|original@2969	62.8	1A	106368492
7A	Cluster_4861|Contig1|original@916	280.2	7A	179314927
7A	Cluster_4861|Contig3|original@940	280.2	7A	179314927
7B	Cluster_4861|Contig5|original@1516	219.8	7B	249157961
5B	Cluster_4863|Contig2|original@54	265.2	5B	272879186
4A	Cluster_4868|Contig2|original@234	87	4B	137151503
2A	Cluster_487|Contig3|original@1173	112.7	2B	185332325
2A	Cluster_4870|Contig1|original@934	112.7	2A	156169242
4A	Cluster_4871|Contig1|original@613	102.2	4A	141406173
6B	Cluster_4872|Contig2|complementarySeq@1503	111.3	NA	NA
1A	Cluster_4873|Contig1|original@960	60.8	1A	20469685
4B	Cluster_4875|Contig1|likelySeq@1722	79.5	4B	208078194
1B	Cluster_4877|Contig2|original@135	55.3	NA	NA
1B	Cluster_4877|Contig2|original@1098	55.3	NA	NA
1B	Cluster_4877|Contig3|original@768	55.3	NA	NA
1B	Cluster_4877|Contig4|original@1006	55.3	1A	126082027
2B	Cluster_488|Contig3|original@793	146.1	2B	92329925
4B	Cluster_4883|Contig3|original@1341	94.2	4B	67849411
7A	Cluster_4885|Contig1|original@127	127.4	7A	52928180
2B	Cluster_4887|Contig2|complementarySeq@675	168.9	NA	NA
6B	Cluster_489|Contig4|original@2317	137.8	6B	165553188
5A	Cluster_4890|Contig2|likelySeq@295	92.1	NA	NA
1A	Cluster_4893|Contig1|complementarySeq@160	76.1	NA	NA
1A	Cluster_4893|Contig1|likelySeq@160	76.1	NA	NA
1B	Cluster_4893|Contig2|complementarySeq@1066	89.7	1B	137951776
1B	Cluster_4893|Contig2|likelySeq@1066	89.7	1B	137951776
6B	Cluster_4895|Contig2|original@321	15.3	6B	4079470
6B	Cluster_4895|Contig5|original@2126	15.3	6A	4180604
7A	Cluster_4898|Contig1|original@2665	244.2	7B	238722812
7A	Cluster_4898|Contig11|original@628	244.2	7B	238722812
7A	Cluster_4898|Contig5|original@108	244.2	7B	238722812
7A	Cluster_4898|Contig6|original@409	244.2	7A	169540166
7A	Cluster_4898|Contig7|original@265	243.5	7A	169540166
7A	Cluster_4898|Contig8|original@2752	244.2	7B	238722812
7B	Cluster_4898|Contig9|original@324	170.9	7B	238722812
5B	Cluster_4904|Contig2|complementarySeq@1303	61.5	5B	65720629
5B	Cluster_4904|Contig2|likelySeq@236	61.5	5B	65720629
5A	Cluster_4904|Contig6|original@1299	49.3	5B	65720629
2B	Cluster_4905|Contig1|original@1478	138.2	2B	202477200
2B	Cluster_4905|Contig3|original@3022	138	2B	202477200
7A	Cluster_4906|Contig1|original@1587	140.8	7B	68075554
7A	Cluster_4906|Contig3|original@1071	140.8	7A	56648782
5B	Cluster_4908|Contig13|original@2135	173.6	5B	214880957
7B	Cluster_491|Contig12|original@333	17.8	NA	NA
4B	Cluster_4914|Contig2|original@73	81.3	4B	122871455
4B	Cluster_4916|Contig2|complementarySeq@452	99.3	4A	87755731
7A	Cluster_4917|Contig4|complementarySeq@618	12.2	NA	NA
5B	Cluster_4918|Contig2|original@1120	172.1	5B	217874885
5A	Cluster_4918|Contig3|original@786	206.7	5A	108137089
4B	Cluster_492|Contig1|original@1169	84.6	4B	184438189
4B	Cluster_4921|Contig1|original@1286	137.2	4B	295201893
6B	Cluster_4927|Contig1|original@274	94.3	6A	78287179
1B	Cluster_4928|Contig1|complementarySeq@278	120	1B	228327563
1B	Cluster_4928|Contig1|complementarySeq@478	120.5	1B	228327563
4A	Cluster_4929|Contig2|original@296	183.5	NA	NA
1A	Cluster_4930|Contig2|complementarySeq@154	105.3	1A	214779715
1A	Cluster_4930|Contig2|likelySeq@154	105.3	1A	214779715
4B	Cluster_4933|Contig1|original@265	89.6	4B	86751946
4B	Cluster_4933|Contig3|original@2738	89.2	4B	86751946
4B	Cluster_4937|Contig1|likelySeq@632	82	4B	44737772
1B	Cluster_4938|Contig3|original@2714	55.3	1B	98469948
1B	Cluster_4938|Contig4|original@745	55.3	1B	98469948
2B	Cluster_4940|Contig2|original@936	123.3	2B	62371497
2B	Cluster_4941|Contig2|original@192	212	2B	292311169
6B	Cluster_4945|Contig1|original@239	208	6B	201403824
6B	Cluster_4945|Contig2|original@2117	209	6B	201403824
6A	Cluster_4945|Contig3|original@2123	202.5	6B	201403824
6B	Cluster_4945|Contig4|original@1610	208	6B	201403824
6B	Cluster_4945|Contig5|original@2204	208	6B	201403824
6A	Cluster_4945|Contig6|original@309	203	6B	201403824
6A	Cluster_4945|Contig7|original@2170	203	6B	201403824
1A	Cluster_4946|Contig1|original@164	41.4	1A	4166921
3B	Cluster_4949|Contig1|original@173	236.6	3B	741773568
4A	Cluster_495|Contig1|complementarySeq@993	138.6	NA	NA
4A	Cluster_495|Contig1|likelySeq@993	138.6	NA	NA
4A	Cluster_495|Contig17|original@777	138.6	NA	NA
3A	Cluster_495|Contig19|likelySeq@956	54.1	3A	10847246
5B	Cluster_495|Contig21|original@189	248.8	5B	262503956
4A	Cluster_495|Contig3|original@559	138.6	NA	NA
3B	Cluster_495|Contig39|complementarySeq@510	68.9	NA	NA
3A	Cluster_495|Contig39|likelySeq@982	54.1	3A	10847246
5B	Cluster_495|Contig44|complementarySeq@1148	265.2	NA	NA
5B	Cluster_495|Contig44|likelySeq@1151	265.2	NA	NA
1A	Cluster_4956|Contig2|original@1317	185.8	NA	NA
6A	Cluster_4960|Contig3|original@344	161.9	6A	199053089
4B	Cluster_4962|Contig1|likelySeq@1597	89.6	4B	155391141
2B	Cluster_4963|Contig3|original@329	266.2	2B	334800981
2B	Cluster_4963|Contig4|original@282	265.7	2B	334800981
2B	Cluster_4963|Contig4|original@228	266.2	2B	334800981
3B	Cluster_4965|Contig1|likelySeq@4561	182.1	3B	667564781
4A	Cluster_4966|Contig4|original@604	166.4	4A	181208550
1A	Cluster_4969|Contig2|original@370	15	1A	2092059
4A	Cluster_497|Contig5|original@158	62.1	NA	NA
4A	Cluster_497|Contig6|original@561	62.1	4A	49982431
4B	Cluster_4970|Contig1|likelySeq@918	89.6	4B	101434283
2B	Cluster_4974|Contig1|original@169	217.2	2B	296769234
2A	Cluster_4974|Contig3|original@404	200.6	NA	NA
2A	Cluster_4974|Contig3|original@406	200.8	NA	NA
2A	Cluster_4978|Contig1|original@489	54.2	1B	243489504
2A	Cluster_4978|Contig8|original@2377	54.5	1B	243489504
2B	Cluster_4980|Contig1|original@780	214.6	NA	NA
2B	Cluster_4980|Contig3|original@113	214.6	NA	NA
6B	Cluster_4981|Contig2|complementarySeq@1444	66.8	NA	NA
6B	Cluster_4981|Contig2|likelySeq@1471	66.8	NA	NA
7B	Cluster_4982|Contig3|likelySeq@216	106.8	NA	NA
7B	Cluster_4982|Contig3|likelySeq@210	106.8	NA	NA
2B	Cluster_4985|Contig1|original@958	207.8	2B	282179023
1A	Cluster_4986|Contig1|likelySeq@2249	69.8	1A	102735580
1A	Cluster_4986|Contig2|likelySeq@2279	69.8	NA	NA
2A	Cluster_4996|Contig10|original@3209	10.4	2A	7118296
2A	Cluster_4996|Contig11|original@240	10.1	2A	5005258
2A	Cluster_4996|Contig14|original@2883	10.1	NA	NA
2B	Cluster_4996|Contig15|original@1472	27.7	NA	NA
2B	Cluster_4996|Contig2|original@91	27.7	2A	5005258
2A	Cluster_4996|Contig5|original@845	10.1	2A	5005258
2A	Cluster_4996|Contig6|original@3196	10.1	2A	5005258
2A	Cluster_4996|Contig9|original@1017	10.1	NA	NA
4B	Cluster_4998|Contig1|original@1107	158.5	NA	NA
5A	Cluster_4998|Contig2|original@487	290.5	5A	138156579
4B	Cluster_4998|Contig3|original@2421	158.2	NA	NA
4B	Cluster_4998|Contig4|original@2111	158.5	NA	NA
5A	Cluster_4998|Contig5|original@484	290.5	5A	138156579
5A	Cluster_4998|Contig6|original@3030	290.5	5A	138156579
4B	Cluster_4998|Contig7|original@2995	158.2	NA	NA
3A	Cluster_50|Contig4|original@185	80.5	NA	NA
5B	Cluster_5003|Contig2|likelySeq@1344	1.3	5B	1960153
2B	Cluster_5005|Contig3|original@424	35.5	2B	4634618
6B	Cluster_5009|Contig2|original@190	73.5	NA	NA
1B	Cluster_501|Contig1|likelySeq@373	95.8	1B	135249243
2B	Cluster_5010|Contig1|original@755	75.3	2B	19776206
5B	Cluster_5015|Contig1|original@1240	188.4	5B	229266031
5B	Cluster_5015|Contig1|original@995	187.7	5B	229266031
2A	Cluster_5018|Contig1|original@3853	208.8	2A	236231616
2B	Cluster_5018|Contig2|original@1046	225.3	2A	236231616
2B	Cluster_5018|Contig3|original@2130	225.3	2A	236231616
4A	Cluster_5021|Contig1|original@1459	77.2	1B	52164698
4A	Cluster_5021|Contig2|original@1079	76.2	1B	51663484
4A	Cluster_5021|Contig2|original@1075	77.2	1B	51663484
3B	Cluster_5023|Contig3|original@292	69.1	NA	NA
5B	Cluster_5026|Contig6|likelySeq@944	64.5	5B	156889473
2B	Cluster_5027|Contig1|original@695	273.8	2B	337868990
2A	Cluster_5027|Contig2|original@542	256.6	2A	249180460
2A	Cluster_5027|Contig2|original@554	256.1	2A	249180460
4A	Cluster_5029|Contig10|likelySeq@329	160.8	4A	192482980
5B	Cluster_5029|Contig21|likelySeq@276	241.7	5B	260894310
7B	Cluster_5029|Contig22|complementarySeq@99	141.5	7B	225626112
7B	Cluster_5029|Contig22|likelySeq@99	141.5	7B	225626112
7B	Cluster_5029|Contig22|likelySeq@284	141.5	7B	225626112
7A	Cluster_5029|Contig3|likelySeq@520	207.3	7A	157720533
4A	Cluster_5029|Contig6|likelySeq@165	160.8	4A	192652764
5B	Cluster_5029|Contig8|complementarySeq@264	241.7	5B	260906481
5B	Cluster_5034|Contig3|original@429	108.3	NA	NA
1A	Cluster_5040|Contig1|original@1437	203.8	NA	NA
1B	Cluster_5042|Contig3|original@753	73.4	NA	NA
2A	Cluster_5044|Contig1|complementarySeq@3898	112.7	2A	69630514
2A	Cluster_5044|Contig1|likelySeq@3898	112.7	2B	149905069
2B	Cluster_5044|Contig2|original@494	142.3	NA	NA
4A	Cluster_5045|Contig1|complementarySeq@2408	59.3	4A	24776028
4B	Cluster_5045|Contig1|likelySeq@1216	113.9	4B	246246633
5B	Cluster_5051|Contig1|complementarySeq@611	177	5B	220953514
5A	Cluster_5051|Contig1|likelySeq@1604	213.4	NA	NA
5B	Cluster_5052|Contig1|original@795	49.7	5A	33466474
5A	Cluster_5052|Contig2|original@1309	52.3	5A	33466474
5A	Cluster_5054|Contig1|original@99	280	4B	301106550
4B	Cluster_5054|Contig2|original@179	147.3	4B	301106550
4B	Cluster_506|Contig1|original@643	89.6	NA	NA
4B	Cluster_5064|Contig1|original@585	69.8	4B	192606622
4A	Cluster_5064|Contig2|original@531	94.9	4A	158130260
4A	Cluster_5064|Contig2|original@1753	94.9	4A	158130260
4B	Cluster_5068|Contig4|original@1241	105.3	4B	245938523
4A	Cluster_5068|Contig6|original@1291	63.2	4A	61597778
7A	Cluster_5069|Contig1|original@294	174.1	7A	141757694
7B	Cluster_5069|Contig2|original@962	114	7B	202400291
7B	Cluster_5069|Contig3|original@323	114	7B	202400291
7B	Cluster_5069|Contig6|original@942	114	NA	NA
5A	Cluster_5070|Contig3|original@633	102.3	5B	163490771
6B	Cluster_5071|Contig1|complementarySeq@1083	85.2	NA	NA
2B	Cluster_5074|Contig1|original@106	238.7	2B	326394611
2A	Cluster_5074|Contig2|original@1458	228.9	2A	243916039
3A	Cluster_5077|Contig1|likelySeq@1343	79.7	NA	NA
7A	Cluster_5084|Contig3|likelySeq@982	17.4	7A	5394049
3A	Cluster_5086|Contig1|original@1325	172	NA	NA
3B	Cluster_5086|Contig2|original@810	182.1	3B	671283575
6A	Cluster_5088|Contig1|complementarySeq@820	128.8	6A	194345516
1A	Cluster_5089|Contig1|original@485	201.7	NA	NA
1A	Cluster_5089|Contig1|original@1264	201.7	NA	NA
4A	Cluster_509|Contig2|original@329	132.1	4A	174652370
3B	Cluster_5090|Contig1|complementarySeq@1515	140.1	3A	143612337
3B	Cluster_5090|Contig1|likelySeq@246	135.8	3A	130825691
1B	Cluster_5094|Contig3|original@1012	4.6	1B	2282706
1B	Cluster_5099|Contig1|original@1509	32	1B	16661756
1A	Cluster_5099|Contig2|original@689	46.8	1A	6243926
7B	Cluster_5104|Contig1|original@188	192.9	7A	174692027
7A	Cluster_5104|Contig3|original@1306	262.6	7A	174692027
7A	Cluster_5104|Contig3|original@1290	264.8	7A	174692027
2B	Cluster_5108|Contig1|original@644	52.5	2B	13169235
2B	Cluster_5108|Contig3|original@319	52.5	2B	13169235
